Stock Name,Beta,PE Ratio,Dividend Yield,Current Price,1y Target Estimate,Target Entry Price,Price Difference,Wait/Buy Now
Apple,1.30,29.42,0.96 (0.56%),173.285,178.88,150.0,23.28,Wait To Buy
Microsoft,0.93,35.21,2.72 (0.87%),324.97,332.93,320.0,4.97,Wait To Buy
