Company Name,Ticker,Title,Link,Published Date,Publisher
Apple Inc.,AAPL,"Bollywood, Cricket Hold Promise for Indian Media Stocks After Rally Boosts Valuations",https://finance.yahoo.com/news/pricey-valuations-threaten-best-indian-060818548.html,2023-09-25,Bloomberg
Apple Inc.,AAPL,1 Massive Overlooked Risk for Intel and AMD,https://finance.yahoo.com/m/defe0d1e-8fc1-37f5-a487-2ce540d005a5/1-massive-overlooked-risk-for.html,2023-09-25,Motley Fool
Apple Inc.,AAPL,Warren Buffett Has Put $150 Billion of Berkshire Hathaway's Cash to Work in These 4 Stocks,https://finance.yahoo.com/m/2680f24f-624a-3886-92c5-8fc54bbe6832/warren-buffett-has-put-%24150.html,2023-09-25,Motley Fool
Apple Inc.,AAPL,UPDATE 4-Apple supplier Pegatron halts iPhone assembly at India facility after fire,https://finance.yahoo.com/news/1-apples-indian-contract-facility-085816957.html,2023-09-25,Reuters
Apple Inc.,AAPL,Apple supplier Pegatron halts iPhone assembly at India facility after fire,https://finance.yahoo.com/news/apples-indian-contract-facility-temporarily-083955925.html,2023-09-25,Reuters
Apple Inc.,AAPL,Apple’s Cheapest iPhone 15 Is Winning Buyers After Upgrades,https://finance.yahoo.com/news/apple-cheapest-iphone-surges-popularity-062145865.html,2023-09-25,Bloomberg
Apple Inc.,AAPL,"India Loosens Planned Restrictions on Laptop, Tablet Imports",https://finance.yahoo.com/news/india-loosens-planned-restrictions-laptop-051155328.html,2023-09-24,Bloomberg
Apple Inc.,AAPL,Record-breaking pre-order waiting times for new iPhone models,https://finance.yahoo.com/news/record-breaking-pre-order-waiting-040710044.html,2023-09-24,Investing.com
Microsoft Corporation,MSFT,Amazon to Invest Up to $4 Billion in Anthropic as AI Arms Race Escalates,https://finance.yahoo.com/m/aa665723-8d3c-3571-be67-7f8f7a937b6d/amazon-to-invest-up-to-%244.html,2023-09-25,The Wall Street Journal
Microsoft Corporation,MSFT,Amazon to invest up to $4bn in AI start-up Anthropic,https://finance.yahoo.com/m/38fedfd5-fd39-349e-808e-fc4cc6b370c3/amazon-to-invest-up-to-%244bn.html,2023-09-25,Financial Times
Microsoft Corporation,MSFT,12 Fastest Growing Sectors and Investment Opportunities in the US,https://finance.yahoo.com/news/12-fastest-growing-sectors-investment-230500439.html,2023-09-24,Insider Monkey
Microsoft Corporation,MSFT,UK competition authority provisionally approves Microsoft's acquisition of Activision Blizzard,https://finance.yahoo.com/news/uk-competition-authority-provisionally-approves-213920517.html,2023-09-24,Investing.com
Microsoft Corporation,MSFT,"Q&A: GitHub CEO Thomas Dohmke talks AI, supercharging productivity, and the future of software",https://finance.yahoo.com/news/qa-github-ceo-thomas-dohmke-talks-ai-supercharging-productivity-and-the-future-of-software-173028713.html,2023-09-24,Yahoo Finance
Microsoft Corporation,MSFT,"Got $3,000? These 3 Stocks Could Double Your Money by 2030.",https://finance.yahoo.com/m/70000826-6d11-3759-8470-d4c10ab8c86a/got-%243%2C000%3F-these-3-stocks.html,2023-09-24,Motley Fool
Microsoft Corporation,MSFT,2 Hypergrowth Stocks to Buy in 2023 and Beyond,https://finance.yahoo.com/m/9d9b8c3b-3510-354d-9ec9-f5b6e7306f9b/2-hypergrowth-stocks-to-buy.html,2023-09-24,Motley Fool
Microsoft Corporation,MSFT,"1 Super Stock Just 28% Away From Joining Apple, Microsoft, Amazon, Alphabet, and Nvidia in the $1 Trillion Club",https://finance.yahoo.com/m/a8a57694-8bdd-368c-b1d8-5919dddbc7bb/1-super-stock-just-28%25-away.html,2023-09-24,Motley Fool
Alphabet Inc.,GOOG,Which High-Profile Stock-Split Stock Is the Cheapest? Get Ready to Be Shocked...,https://finance.yahoo.com/m/10f5a2d0-c3cd-36bf-92f7-3074b602e2fd/which-high-profile.html,2023-09-25,Motley Fool
Alphabet Inc.,GOOG,Amazon to invest up to $4 billion in AI startup Anthropic,https://finance.yahoo.com/m/ff1e7629-be07-312c-ba6d-48af6f1500cc/amazon-to-invest-up-to-%244.html,2023-09-25,TechCrunch
Alphabet Inc.,GOOG,Amazon steps up AI race with up to $4 billion deal to invest in Anthropic,https://finance.yahoo.com/news/amazon-steps-ai-race-4-070535684.html,2023-09-25,Reuters
Alphabet Inc.,GOOG,Amazon to invest up to $4bn in AI start-up Anthropic,https://finance.yahoo.com/m/38fedfd5-fd39-349e-808e-fc4cc6b370c3/amazon-to-invest-up-to-%244bn.html,2023-09-25,Financial Times
Alphabet Inc.,GOOG,These Are The Best Robinhood Stocks To Buy Or Watch Now,https://finance.yahoo.com/m/013f3a26-06d7-3bb6-8811-ddbc901f9eec/these-are-the-best-robinhood.html,2023-09-24,Investor's Business Daily
Alphabet Inc.,GOOG,12 Fastest Growing Sectors and Investment Opportunities in the US,https://finance.yahoo.com/news/12-fastest-growing-sectors-investment-230500439.html,2023-09-24,Insider Monkey
Alphabet Inc.,GOOG,"Got $3,000? These 3 Stocks Could Double Your Money by 2030.",https://finance.yahoo.com/m/70000826-6d11-3759-8470-d4c10ab8c86a/got-%243%2C000%3F-these-3-stocks.html,2023-09-24,Motley Fool
Alphabet Inc.,GOOG,2 Artificial Intelligence (AI) Stocks to Buy and Hold Forever,https://finance.yahoo.com/m/5ae4a7c3-876a-3774-adb3-e1cea210c2ed/2-artificial-intelligence.html,2023-09-24,Motley Fool
